"epoch","rural-sweep-1 - _step","rural-sweep-1 - _step__MIN","rural-sweep-1 - _step__MAX","rural-sweep-1 - loss/train","rural-sweep-1 - loss/train__MIN","rural-sweep-1 - loss/train__MAX","rural-sweep-1 - loss/val","rural-sweep-1 - loss/val__MIN","rural-sweep-1 - loss/val__MAX"
"0","0","0","0","2.0908050702873773","2.0908050702873773","2.0908050702873773","1.9561329918048285","1.9561329918048285","1.9561329918048285"
"1","1","1","1","1.9365036787366021","1.9365036787366021","1.9365036787366021","1.9000966326534776","1.9000966326534776","1.9000966326534776"
"2","2","2","2","1.8680035038107246","1.8680035038107246","1.8680035038107246","1.8922766511860887","1.8922766511860887","1.8922766511860887"
"3","3","3","3","1.793463772217903","1.793463772217903","1.793463772217903","1.8952626888788224","1.8952626888788224","1.8952626888788224"
"4","4","4","4","1.7215680166109073","1.7215680166109073","1.7215680166109073","1.9618959436763657","1.9618959436763657","1.9618959436763657"
"5","5","5","5","1.6583893690588911","1.6583893690588911","1.6583893690588911","1.9462624981017884","1.9462624981017884","1.9462624981017884"
"6","6","6","6","1.5766649218000603","1.5766649218000603","1.5766649218000603","2.0096025056193247","2.0096025056193247","2.0096025056193247"
"7","7","7","7","1.5926207097677083","1.5926207097677083","1.5926207097677083","2.038713480952916","2.038713480952916","2.038713480952916"
"8","8","8","8","1.503202938292859","1.503202938292859","1.503202938292859","2.0806355275958435","2.0806355275958435","2.0806355275958435"
"9","9","9","9","1.505612416556601","1.505612416556601","1.505612416556601","2.063662868993505","2.063662868993505","2.063662868993505"
"10","10","10","10","1.452787662751576","1.452787662751576","1.452787662751576","2.1184616052077585","2.1184616052077585","2.1184616052077585"
"11","11","11","11","1.464238307356129","1.464238307356129","1.464238307356129","2.1351866286122707","2.1351866286122707","2.1351866286122707"
"12","12","12","12","1.4886223642078378","1.4886223642078378","1.4886223642078378","2.1664640125949393","2.1664640125949393","2.1664640125949393"
"13","13","13","13","1.4398650144331553","1.4398650144331553","1.4398650144331553","2.189164557911624","2.189164557911624","2.189164557911624"
"14","14","14","14","1.4303235106566954","1.4303235106566954","1.4303235106566954","2.165233954588206","2.165233954588206","2.165233954588206"
"15","15","15","15","1.4130405600254352","1.4130405600254352","1.4130405600254352","2.1896896322769592","2.1896896322769592","2.1896896322769592"
"16","16","16","16","1.4326021341529824","1.4326021341529824","1.4326021341529824","2.1552903030062533","2.1552903030062533","2.1552903030062533"
"17","17","17","17","1.439255159458465","1.439255159458465","1.439255159458465","2.1276483380920816","2.1276483380920816","2.1276483380920816"
"18","18","18","18","1.4134265299026783","1.4134265299026783","1.4134265299026783","2.1566803189589097","2.1566803189589097","2.1566803189589097"
