"epoch","scarlet-sweep-1 - _step","scarlet-sweep-1 - _step__MIN","scarlet-sweep-1 - _step__MAX","scarlet-sweep-1 - loss/train","scarlet-sweep-1 - loss/train__MIN","scarlet-sweep-1 - loss/train__MAX","scarlet-sweep-1 - loss/val","scarlet-sweep-1 - loss/val__MIN","scarlet-sweep-1 - loss/val__MAX"
"0","0","0","0","2.030365413815312","2.030365413815312","2.030365413815312","1.821219354332564","1.821219354332564","1.821219354332564"
"1","1","1","1","1.8473951329846354","1.8473951329846354","1.8473951329846354","1.7772647533368426","1.7772647533368426","1.7772647533368426"
"2","2","2","2","1.8063611053150785","1.8063611053150785","1.8063611053150785","1.7360941756710595","1.7360941756710595","1.7360941756710595"
"3","3","3","3","1.7578683971653324","1.7578683971653324","1.7578683971653324","1.7115996584591366","1.7115996584591366","1.7115996584591366"
"4","4","4","4","1.732038448548176","1.732038448548176","1.732038448548176","1.724366214680595","1.724366214680595","1.724366214680595"
"5","5","5","5","1.7166570760089266","1.7166570760089266","1.7166570760089266","1.6982733491706936","1.6982733491706936","1.6982733491706936"
"6","6","6","6","1.6983336309004111","1.6983336309004111","1.6983336309004111","1.6909085807027162","1.6909085807027162","1.6909085807027162"
"7","7","7","7","1.743707289180812","1.743707289180812","1.743707289180812","1.6796348196523412","1.6796348196523412","1.6796348196523412"
"8","8","8","8","1.692745384732647","1.692745384732647","1.692745384732647","1.6857135920742041","1.6857135920742041","1.6857135920742041"
"9","9","9","9","1.7174464943846302","1.7174464943846302","1.7174464943846302","1.6762395837459625","1.6762395837459625","1.6762395837459625"
"10","10","10","10","1.6838418843125451","1.6838418843125451","1.6838418843125451","1.6714478332509868","1.6714478332509868","1.6714478332509868"
"11","11","11","11","1.6917005525185511","1.6917005525185511","1.6917005525185511","1.6646893975483223","1.6646893975483223","1.6646893975483223"
"12","12","12","12","1.736359390105016","1.736359390105016","1.736359390105016","1.6633617412599206","1.6633617412599206","1.6633617412599206"
"13","13","13","13","1.6919377934650557","1.6919377934650557","1.6919377934650557","1.6629123554862297","1.6629123554862297","1.6629123554862297"
"14","14","14","14","1.6931772371368294","1.6931772371368294","1.6931772371368294","1.6623671603389514","1.6623671603389514","1.6623671603389514"
"15","15","15","15","1.6765658617372343","1.6765658617372343","1.6765658617372343","1.667207074626587","1.667207074626587","1.667207074626587"
"16","16","16","16","1.6904081522360357","1.6904081522360357","1.6904081522360357","1.6694094306145435","1.6694094306145435","1.6694094306145435"
"17","17","17","17","1.715872460568445","1.715872460568445","1.715872460568445","1.6586385401423105","1.6586385401423105","1.6586385401423105"
"18","18","18","18","1.684545113313833","1.684545113313833","1.684545113313833","1.6632665480023319","1.6632665480023319","1.6632665480023319"
"19","19","19","19","1.67438348351851","1.67438348351851","1.67438348351851","1.6503532036061332","1.6503532036061332","1.6503532036061332"
"20","20","20","20","1.6872408829144472","1.6872408829144472","1.6872408829144472","1.6550840668720015","1.6550840668720015","1.6550840668720015"
"21","21","21","21","1.7133126823154428","1.7133126823154428","1.7133126823154428","1.657392074714768","1.657392074714768","1.657392074714768"
"22","22","22","22","1.669898631657369","1.669898631657369","1.669898631657369","1.6547208758391085","1.6547208758391085","1.6547208758391085"
"23","23","23","23","1.6829544960041722","1.6829544960041722","1.6829544960041722","1.654705282292131","1.654705282292131","1.654705282292131"
"24","24","24","24","1.6713204641313948","1.6713204641313948","1.6713204641313948","1.6512998944051471","1.6512998944051471","1.6512998944051471"
"25","25","25","25","1.659385033789471","1.659385033789471","1.659385033789471","1.646793039478722","1.646793039478722","1.646793039478722"
"26","26","26","26","1.6400499708906433","1.6400499708906433","1.6400499708906433","1.6473609322724063","1.6473609322724063","1.6473609322724063"
"27","27","27","27","1.6640217894985831","1.6640217894985831","1.6640217894985831","1.655788622655829","1.655788622655829","1.655788622655829"
"28","28","28","28","1.6425966680402586","1.6425966680402586","1.6425966680402586","1.6473481051112473","1.6473481051112473","1.6473481051112473"
"29","29","29","29","1.6354511322001735","1.6354511322001735","1.6354511322001735","1.644925091739955","1.644925091739955","1.644925091739955"
"30","30","30","30","1.67246998573196","1.67246998573196","1.67246998573196","1.6458758638510227","1.6458758638510227","1.6458758638510227"
"31","31","31","31","1.6763181564723246","1.6763181564723246","1.6763181564723246","1.647442864690822","1.647442864690822","1.647442864690822"
"32","32","32","32","1.6602809457383918","1.6602809457383918","1.6602809457383918","1.645052979476767","1.645052979476767","1.645052979476767"
"33","33","33","33","1.6310706344934611","1.6310706344934611","1.6310706344934611","1.641804124725848","1.641804124725848","1.641804124725848"
"34","34","34","34","1.6522164290120616","1.6522164290120616","1.6522164290120616","1.6385479674862036","1.6385479674862036","1.6385479674862036"
"35","35","35","35","1.6511364238854696","1.6511364238854696","1.6511364238854696","1.6418455045160638","1.6418455045160638","1.6418455045160638"
"36","36","36","36","1.6311601227557166","1.6311601227557166","1.6311601227557166","1.6411973401622693","1.6411973401622693","1.6411973401622693"
"37","37","37","37","1.625679521342001","1.625679521342001","1.625679521342001","1.6391002658543528","1.6391002658543528","1.6391002658543528"
"38","38","38","38","1.6351363039933717","1.6351363039933717","1.6351363039933717","1.639105379004898","1.639105379004898","1.639105379004898"
"39","39","39","39","1.628261006795443","1.628261006795443","1.628261006795443","1.6418556710203251","1.6418556710203251","1.6418556710203251"
"40","40","40","40","1.6511202078951885","1.6511202078951885","1.6511202078951885","1.6382594218950346","1.6382594218950346","1.6382594218950346"
"41","41","41","41","1.6074037825214793","1.6074037825214793","1.6074037825214793","1.6391898066917359","1.6391898066917359","1.6391898066917359"
"42","42","42","42","1.6328684253805488","1.6328684253805488","1.6328684253805488","1.6368874654084622","1.6368874654084622","1.6368874654084622"
"43","43","43","43","1.6681776517594353","1.6681776517594353","1.6681776517594353","1.6388400039712387","1.6388400039712387","1.6388400039712387"
"44","44","44","44","1.647331915487199","1.647331915487199","1.647331915487199","1.6381405601848495","1.6381405601848495","1.6381405601848495"
