"epoch","ancient-sweep-3 - _step","ancient-sweep-3 - _step__MIN","ancient-sweep-3 - _step__MAX","ancient-sweep-3 - loss/train","ancient-sweep-3 - loss/train__MIN","ancient-sweep-3 - loss/train__MAX","ancient-sweep-3 - loss/val","ancient-sweep-3 - loss/val__MIN","ancient-sweep-3 - loss/val__MAX"
"0","0","0","0","1.9796053952484913","1.9796053952484913","1.9796053952484913","1.9735717772339303","1.9735717772339303","1.9735717772339303"
"1","1","1","1","1.841170150504667","1.841170150504667","1.841170150504667","1.9133894985472206","1.9133894985472206","1.9133894985472206"
"2","2","2","2","1.760282131681415","1.760282131681415","1.760282131681415","1.9002464498478606","1.9002464498478606","1.9002464498478606"
"3","3","3","3","1.7008389521757652","1.7008389521757652","1.7008389521757652","1.8842649611390059","1.8842649611390059","1.8842649611390059"
"4","4","4","4","1.6398394190063559","1.6398394190063559","1.6398394190063559","1.9054063927023601","1.9054063927023601","1.9054063927023601"
"5","5","5","5","1.5807560827143337","1.5807560827143337","1.5807560827143337","1.9774185141787888","1.9774185141787888","1.9774185141787888"
"6","6","6","6","1.565640906607608","1.565640906607608","1.565640906607608","2.0186203299223253","2.0186203299223253","2.0186203299223253"
"7","7","7","7","1.5003978352977376","1.5003978352977376","1.5003978352977376","2.116472240528825","2.116472240528825","2.116472240528825"
"8","8","8","8","1.475268969912539","1.475268969912539","1.475268969912539","2.1028069292329414","2.1028069292329414","2.1028069292329414"
"9","9","9","9","1.4475824211673116","1.4475824211673116","1.4475824211673116","2.1002865440556664","2.1002865440556664","2.1002865440556664"
"10","10","10","10","1.467618769169992","1.467618769169992","1.467618769169992","2.095498563341697","2.095498563341697","2.095498563341697"
"11","11","11","11","1.4267177619237936","1.4267177619237936","1.4267177619237936","2.1445888893113385","2.1445888893113385","2.1445888893113385"
"12","12","12","12","1.4065295786085457","1.4065295786085457","1.4065295786085457","2.1103604179217155","2.1103604179217155","2.1103604179217155"
"13","13","13","13","1.402622662947618","1.402622662947618","1.402622662947618","2.12912669378401","2.12912669378401","2.12912669378401"
"14","14","14","14","1.427303887454487","1.427303887454487","1.427303887454487","2.142276744477928","2.142276744477928","2.142276744477928"
