"Actual","Predicted","nPredictions"
"broadleaved_indigenous_hardwood","broadleaved_indigenous_hardwood","114"
"broadleaved_indigenous_hardwood","deciduous_hardwood","32"
"broadleaved_indigenous_hardwood","grose_broom","22"
"broadleaved_indigenous_hardwood","harvested_forest","14"
"broadleaved_indigenous_hardwood","herbaceous_freshwater_vege","10"
"broadleaved_indigenous_hardwood","high_producing_grassland","6"
"broadleaved_indigenous_hardwood","indigenous_forest","26"
"broadleaved_indigenous_hardwood","lake_pond","13"
"broadleaved_indigenous_hardwood","low_producing_grassland","34"
"broadleaved_indigenous_hardwood","manuka_kanuka","55"
"broadleaved_indigenous_hardwood","shortrotation_cropland","0"
"broadleaved_indigenous_hardwood","urban_build_up","6"
"broadleaved_indigenous_hardwood","urban_parkland","2"
"deciduous_hardwood","broadleaved_indigenous_hardwood","23"
"deciduous_hardwood","deciduous_hardwood","182"
"deciduous_hardwood","grose_broom","5"
"deciduous_hardwood","harvested_forest","3"
"deciduous_hardwood","herbaceous_freshwater_vege","24"
"deciduous_hardwood","high_producing_grassland","6"
"deciduous_hardwood","indigenous_forest","8"
"deciduous_hardwood","lake_pond","24"
"deciduous_hardwood","low_producing_grassland","21"
"deciduous_hardwood","manuka_kanuka","17"
"deciduous_hardwood","shortrotation_cropland","10"
"deciduous_hardwood","urban_build_up","6"
"deciduous_hardwood","urban_parkland","5"
"grose_broom","broadleaved_indigenous_hardwood","43"
"grose_broom","deciduous_hardwood","27"
"grose_broom","grose_broom","105"
"grose_broom","harvested_forest","10"
"grose_broom","herbaceous_freshwater_vege","19"
"grose_broom","high_producing_grassland","8"
"grose_broom","indigenous_forest","5"
"grose_broom","lake_pond","14"
"grose_broom","low_producing_grassland","54"
"grose_broom","manuka_kanuka","43"
"grose_broom","shortrotation_cropland","3"
"grose_broom","urban_build_up","3"
"grose_broom","urban_parkland","0"
"harvested_forest","broadleaved_indigenous_hardwood","4"
"harvested_forest","deciduous_hardwood","3"
"harvested_forest","grose_broom","11"
"harvested_forest","harvested_forest","256"
"harvested_forest","herbaceous_freshwater_vege","7"
"harvested_forest","high_producing_grassland","6"
"harvested_forest","indigenous_forest","2"
"harvested_forest","lake_pond","1"
