"epoch","fast-sweep-1 - _step","fast-sweep-1 - _step__MIN","fast-sweep-1 - _step__MAX","fast-sweep-1 - loss/train","fast-sweep-1 - loss/train__MIN","fast-sweep-1 - loss/train__MAX","fast-sweep-1 - loss/val","fast-sweep-1 - loss/val__MIN","fast-sweep-1 - loss/val__MAX"
"0","0","0","0","1.9048137595528383","1.9048137595528383","1.9048137595528383","1.9760881523446847","1.9760881523446847","1.9760881523446847"
"1","1","1","1","1.7607165751263583","1.7607165751263583","1.7607165751263583","1.9080863321832335","1.9080863321832335","1.9080863321832335"
"2","2","2","2","1.6856356042098117","1.6856356042098117","1.6856356042098117","1.892030439416366","1.892030439416366","1.892030439416366"
"3","3","3","3","1.6368635537011194","1.6368635537011194","1.6368635537011194","1.9056164029005869","1.9056164029005869","1.9056164029005869"
"4","4","4","4","1.5845520544933698","1.5845520544933698","1.5845520544933698","1.936785455674743","1.936785455674743","1.936785455674743"
"5","5","5","5","1.560832667909624","1.560832667909624","1.560832667909624","1.9735965330663336","1.9735965330663336","1.9735965330663336"
"6","6","6","6","1.5124651842599026","1.5124651842599026","1.5124651842599026","2.0276498929084803","2.0276498929084803","2.0276498929084803"
"7","7","7","7","1.4595334524130734","1.4595334524130734","1.4595334524130734","2.0917723839978146","2.0917723839978146","2.0917723839978146"
"8","8","8","8","1.467581951779554","1.467581951779554","1.467581951779554","2.085991664945338","2.085991664945338","2.085991664945338"
"9","9","9","9","1.42883086494976","1.42883086494976","1.42883086494976","2.1730883323009635","2.1730883323009635","2.1730883323009635"
"10","10","10","10","1.3986402730415977","1.3986402730415977","1.3986402730415977","2.1356304468838423","2.1356304468838423","2.1356304468838423"
"11","11","11","11","1.3997575084066658","1.3997575084066658","1.3997575084066658","2.101778331740778","2.101778331740778","2.101778331740778"
"12","12","12","12","1.4076197236550054","1.4076197236550054","1.4076197236550054","2.1404653100690663","2.1404653100690663","2.1404653100690663"
"13","13","13","13","1.3726386407847135","1.3726386407847135","1.3726386407847135","2.167182608114196","2.167182608114196","2.167182608114196"
