"epoch","sunny-sweep-1 - _step","sunny-sweep-1 - _step__MIN","sunny-sweep-1 - _step__MAX","sunny-sweep-1 - loss/train","sunny-sweep-1 - loss/train__MIN","sunny-sweep-1 - loss/train__MAX","sunny-sweep-1 - loss/val","sunny-sweep-1 - loss/val__MIN","sunny-sweep-1 - loss/val__MAX"
"0","0","0","0","2.205837593367205","2.205837593367205","2.205837593367205","1.9418576719133824","1.9418576719133824","1.9418576719133824"
"1","1","1","1","2.059513672446235","2.059513672446235","2.059513672446235","1.9248339076132228","1.9248339076132228","1.9248339076132228"
"2","2","2","2","1.9882224984079786","1.9882224984079786","1.9882224984079786","1.8839033836046708","1.8839033836046708","1.8839033836046708"
"3","3","3","3","1.8998540289326555","1.8998540289326555","1.8998540289326555","1.9093044048517545","1.9093044048517545","1.9093044048517545"
"4","4","4","4","1.8401834317899295","1.8401834317899295","1.8401834317899295","1.9099513856236807","1.9099513856236807","1.9099513856236807"
"5","5","5","5","1.7442750154782949","1.7442750154782949","1.7442750154782949","1.9893711036056596","1.9893711036056596","1.9893711036056596"
"6","6","6","6","1.6594838939106307","1.6594838939106307","1.6594838939106307","2.0078624585211853","2.0078624585211853","2.0078624585211853"
"7","7","7","7","1.6075718799125351","1.6075718799125351","1.6075718799125351","2.0296780188914982","2.0296780188914982","2.0296780188914982"
"8","8","8","8","1.528348826844358","1.528348826844358","1.528348826844358","2.080091901772146","2.080091901772146","2.080091901772146"
"9","9","9","9","1.588594977259223","1.588594977259223","1.588594977259223","2.1351559791406802","2.1351559791406802","2.1351559791406802"
"10","10","10","10","1.4928005589544429","1.4928005589544429","1.4928005589544429","2.0813059067737116","2.0813059067737116","2.0813059067737116"
"11","11","11","11","1.4839351201173092","1.4839351201173092","1.4839351201173092","2.0597553696845434","2.0597553696845434","2.0597553696845434"
"12","12","12","12","1.4847410229123144","1.4847410229123144","1.4847410229123144","2.1087820913208515","2.1087820913208515","2.1087820913208515"
"13","13","13","13","1.4182256606964019","1.4182256606964019","1.4182256606964019","2.117680228289126","2.117680228289126","2.117680228289126"
"14","14","14","14","1.4812617578003087","1.4812617578003087","1.4812617578003087","2.105770536031332","2.105770536031332","2.105770536031332"
"15","15","15","15","1.5032437768536535","1.5032437768536535","1.5032437768536535","2.1485830007857962","2.1485830007857962","2.1485830007857962"
"16","16","16","16","1.4520374383544172","1.4520374383544172","1.4520374383544172","2.138437461216073","2.138437461216073","2.138437461216073"
"17","17","17","17","1.444099478755765","1.444099478755765","1.444099478755765","2.1315418838191724","2.1315418838191724","2.1315418838191724"
"18","18","18","18","1.4112985257767563","1.4112985257767563","1.4112985257767563","2.188104049119462","2.188104049119462","2.188104049119462"
"19","19","19","19","1.428058777705823","1.428058777705823","1.428058777705823","2.1521661648932606","2.1521661648932606","2.1521661648932606"
