"epoch","rich-sweep-1 - _step","rich-sweep-1 - _step__MIN","rich-sweep-1 - _step__MAX","rich-sweep-1 - loss/train","rich-sweep-1 - loss/train__MIN","rich-sweep-1 - loss/train__MAX","rich-sweep-1 - loss/val","rich-sweep-1 - loss/val__MIN","rich-sweep-1 - loss/val__MAX"
"0","0","0","0","2.1657373270445426","2.1657373270445426","2.1657373270445426","1.8527613583933313","1.8527613583933313","1.8527613583933313"
"1","1","1","1","1.9981909804158025","1.9981909804158025","1.9981909804158025","1.7846748463188322","1.7846748463188322","1.7846748463188322"
"2","2","2","2","1.945121646202803","1.945121646202803","1.945121646202803","1.742780652918172","1.742780652918172","1.742780652918172"
"3","3","3","3","1.8914308787548781","1.8914308787548781","1.8914308787548781","1.7136110914626577","1.7136110914626577","1.7136110914626577"
"4","4","4","4","1.8925037551735808","1.8925037551735808","1.8925037551735808","1.6989956663699262","1.6989956663699262","1.6989956663699262"
"5","5","5","5","1.8557305051812842","1.8557305051812842","1.8557305051812842","1.6868249442872778","1.6868249442872778","1.6868249442872778"
"6","6","6","6","1.8409687253943654","1.8409687253943654","1.8409687253943654","1.6822851593732724","1.6822851593732724","1.6822851593732724"
"7","7","7","7","1.8359879486333364","1.8359879486333364","1.8359879486333364","1.6633944976225474","1.6633944976225474","1.6633944976225474"
"8","8","8","8","1.8164032522264544","1.8164032522264544","1.8164032522264544","1.6778286655396155","1.6778286655396155","1.6778286655396155"
"9","9","9","9","1.877029966883969","1.877029966883969","1.877029966883969","1.667144677129444","1.667144677129444","1.667144677129444"
"10","10","10","10","1.8259802293931675","1.8259802293931675","1.8259802293931675","1.6655285578617463","1.6655285578617463","1.6655285578617463"
"11","11","11","11","1.8208555251353056","1.8208555251353056","1.8208555251353056","1.6512252987392044","1.6512252987392044","1.6512252987392044"
"12","12","12","12","1.8321674067805012","1.8321674067805012","1.8321674067805012","1.660882544539481","1.660882544539481","1.660882544539481"
"13","13","13","13","1.791220573581485","1.791220573581485","1.791220573581485","1.6508309052925074","1.6508309052925074","1.6508309052925074"
"14","14","14","14","1.8403879810519626","1.8403879810519626","1.8403879810519626","1.6461215535378686","1.6461215535378686","1.6461215535378686"
"15","15","15","15","1.8498738177187808","1.8498738177187808","1.8498738177187808","1.6528390177050696","1.6528390177050696","1.6528390177050696"
"16","16","16","16","1.8200730249220296","1.8200730249220296","1.8200730249220296","1.6520000734619147","1.6520000734619147","1.6520000734619147"
"17","17","17","17","1.8140258154601416","1.8140258154601416","1.8140258154601416","1.6385095218314052","1.6385095218314052","1.6385095218314052"
"18","18","18","18","1.786936083107629","1.786936083107629","1.786936083107629","1.6417336157256697","1.6417336157256697","1.6417336157256697"
"19","19","19","19","1.8081468676386212","1.8081468676386212","1.8081468676386212","1.6416819880822462","1.6416819880822462","1.6416819880822462"
"20","20","20","20","1.813511821903679","1.813511821903679","1.813511821903679","1.654267223844436","1.654267223844436","1.654267223844436"
"21","21","21","21","1.8321678662966514","1.8321678662966514","1.8321678662966514","1.6458975181004134","1.6458975181004134","1.6458975181004134"
"22","22","22","22","1.784311698363708","1.784311698363708","1.784311698363708","1.643043236159224","1.643043236159224","1.643043236159224"
"23","23","23","23","1.8110082731094943","1.8110082731094943","1.8110082731094943","1.6437241311778346","1.6437241311778346","1.6437241311778346"
"24","24","24","24","1.805956449925032","1.805956449925032","1.805956449925032","1.6400887608143768","1.6400887608143768","1.6400887608143768"
"25","25","25","25","1.794478435305972","1.794478435305972","1.794478435305972","1.6378276120787225","1.6378276120787225","1.6378276120787225"
"26","26","26","26","1.820716811729981","1.820716811729981","1.820716811729981","1.6409924824300421","1.6409924824300421","1.6409924824300421"
"27","27","27","27","1.7985764768608836","1.7985764768608836","1.7985764768608836","1.6370053646038447","1.6370053646038447","1.6370053646038447"
"28","28","28","28","1.809925277339418","1.809925277339418","1.809925277339418","1.6427140802021458","1.6427140802021458","1.6427140802021458"
"29","29","29","29","1.7928561020128775","1.7928561020128775","1.7928561020128775","1.6392439563172252","1.6392439563172252","1.6392439563172252"
